tweetId,date,username,tweet,label,cleantweet
1374945386733793287,2021-03-25 04:45:00,imnteeevil,ganggu orang WFH aja bajingan !,0,ganggu orang wfh bajing
1409154884406939652,2021-06-27 14:21:19,irmaminoris,"Akhirnya ada pengumuman WFH setelah samping kantor positif covid dan meninggal. 

Jadi inget kata-kata BuDir: ""Sudah saatnya kita WFH kembali. Mau nunggu apa? Nunggu ada yg sakit? Nunggu ada yg mati? Jangan sampai itu terjadi""",1,akhir umum wfh samping kantor positif covid tinggal jadi ingat kata budir sudah saat wfh kembali mau tunggu apa tunggu yang sakit tunggu yang mati jangan itu jadi
1387457684115390471,2021-04-28 17:24:24,hibyscu,"padahal pas wfh jam kerja makin gila, nonstop senin-minggu weekend disuru lembur gaada enaknya🙂🙏 https://t.co/sPvNuDdwQS",0,padahal pas wfh jam kerja makin gila nonstop senin-minggu akhir pekan disuru lembur ada enak bahagia doa
1376747308012859393,2021-03-30 04:05:11,saltedcaramell6,@selphieusagi Aku lebih nyaman wfh walaupun skrg full wfo. Kangen wfh walaupun jam 9 malem masih kerja🤣,1,aku lebih nyaman wfh walaupun sekarang full wfo kangen wfh walaupun jam malam kerja ketawa
1364770266048471040,2021-02-25 02:52:42,Widyor1st,"Da ah Udh kosong lg kepala, kerja kerja. Untung wfh Hari ini",1,daerah ah kosong kepala kerja kerja untung wfh hari
1410159366209040388,2021-06-30 08:52:47,sandiuno,"Selamat sore, sobat parekraf, wonderful people. Salam sehat penuh semangat! 

Bekerja #DiRumahAja atau kebijakan WFH yang kita terapkan di Kemenparekraf bertujuan untuk meminimalisir penyebaran covid-19 yang kian masif. Kesehatan dan keselamatan harus tetap menjadi yang utama. https://t.co/O3gV8gz4I0",1,selamat sore sobat parekraf wonderful people salam sehat penuh semangat kerja bijak wfh kita terap kemenparekraf tuju meminimalisir sebar covid- kian masif sehat selamat tetap jadi utama
1376709950076948481,2021-03-30 01:36:44,bellavibiyanisa,alhamdulillah wfh di perpanjang sampe 30 april😽,1,alhamdulillah wfh panjang april
1376690912001028098,2021-03-30 00:21:05,adeagusrayagi,Selamat pagi dan harus tetap semangat... #WFH https://t.co/FsPWNcuV9t,1,selamat pagi harus tetap semangat
1362402433482125318,2021-02-18 14:03:47,UDEANbsl,Relate anjir semenjak wfh di rumah # https://t.co/slSbQNWf9Y,1,relate anjir semenjak wfh rumah
1411266536849887236,2021-07-03 10:12:17,snrby_,Wfh tapi gaenakeun tempatnya bikin sakit pinggang ya ternyata😅,0,wfh gaenakeun tempat bikin sakit pinggang nyata ketawa
